Torneo,Fecha,Categoria,Pregunta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Pregunta_PT,Opcion1_PT,Opcion2_PT,Opcion3_PT,Pregunta_EN,Opcion1_EN,Opcion2_EN,Opcion3_EN,Respuesta_Correcta,Es_Ordenamiento
Mundial_1,1,personajes,¿Qué comandante del ejército de Saúl coronó a Is-boset como rey sobre Israel?,Abner,Benaías,Joab,Qual comandante do exército de Saul coroou Isbosete como rei sobre Israel?,Abner,Benaia,Joabe,Which commander of Saul's army crowned Ish-bosheth king over Israel?,Abner,Benaiah,Joab,1,FALSE
Mundial_1,1,personajes,¿Qué rey de Moab era extremadamente obeso y fue asesinado por el juez Aod?,Eglón,Balac,Hadad,Qual rei de Moabe era extremamente obeso e foi morto pelo juiz Eúde?,Eglom,Balaque,Hadade,Which king of Moab was extremely obese and killed by the judge Ehud?,Eglon,Balak,Hadad,1,FALSE
Mundial_1,1,personajes,¿Qué profeta de Silo rasgó su manto en doce pedazos para profetizar el reino a Jeroboam?,Ajías,Semaías,Iddo,Qual profeta de Siló rasgou sua capa em doze pedaços para profetizar o reino a Jeroboão?,Aías,Semaías,Ido,Which prophet of Shiloh tore his garment into twelve pieces to prophesy the kingdom to Jeroboam?,Ahijah,Shemaiah,Iddo,1,FALSE
Mundial_1,1,personajes,¿Quién fue el primer juez de Israel que liberó al pueblo del dominio de Mesopotamia?,Otoniel,Aod,Samgar,Quem foi o primeiro juiz de Israel que libertou o povo do domínio da Mesopotâmia?,Otoniel,Eúde,Sangar,Who was the first judge of Israel who delivered the people from Mesopotamian rule?,Othniel,Ehud,Shamgar,1,FALSE
Mundial_1,1,eventos,¿Qué fenómeno ocurrió en el río Jordán cuando los sacerdotes que llevaban el Arca pisaron el agua?,Las aguas se detuvieron río arriba,Se abrió un camino seco por un rayo,El río cambió de rumbo,Qual fenômeno ocorreu no rio Jordão quando os sacerdotes que levavam a Arca pisaram na água?,As águas pararam rio acima,Abriu-se um caminho seco por um raio,O rio mudou de curso,What phenomenon occurred at the Jordan River when the priests carrying the Ark stepped into the water?,The waters backed up upstream,A dry path opened by lightning,The river changed course,1,FALSE
Mundial_1,1,eventos,¿Qué hecho provocó la retirada inmediata del rey asirio Senaquerib tras sitiar Jerusalén?,La muerte de 185.000 soldados por un ángel,Una rebelión en Nínive,Un terremoto devastador,Qual evento provocou a retirada imediata do rei assírio Senaqueribe após cercar Jerusalém?,A morte de 185.000 soldados por um anjo,Uma rebelião em Nínive,Um terremoto devastador,What event caused Assyrian King Sennacherib to immediately retreat after besieging Jerusalem?,"The death of 185,000 soldiers by an angel",A rebellion in Nineveh,A devastating earthquake,1,FALSE
Mundial_1,1,eventos,"¿Qué les sucedió a los soldados que arrojaron a Sadrac, Mesac y Abed-nego al horno ardiendo?",Murieron quemados por la llamarada,Quedaron ciegos por el resplandor,Huyeron aterrorizados,"O que aconteceu com os soldados que jogaram Sadraque, Mesaque e Abednego na fornalha ardente?",Morreram queimados pelas chamas,Ficaram cegos pelo brilho,Fugiram aterrorizados,"What happened to the soldiers who threw Shadrach, Meshach, and Abednego into the fiery furnace?",They were killed by the heat of the flames,Struck blind by the glare,Fled in terror,1,FALSE
Mundial_1,1,eventos,¿En qué festividad bíblica debían los israelitas construir y habitar en enramadas durante siete días?,Fiesta de los Tabernáculos,Fiesta de las Semanas,Fiesta de la Pascua,Em qual festividade bíblica os israelitas deviam construir e habitar em cabanas por sete dias?,Festa dos Tabernáculos,Festa das Semanas,Festa da Páscoa,In which biblical festival were Israelites commanded to build and dwell in temporary shelters for seven days?,Feast of Tabernacles,Feast of Weeks,Feast of Passover,1,FALSE
Mundial_1,1,eventos,¿En qué lugar sagrado celebró Salomón un gran sacrificio de mil holocaustos antes de pedir sabiduría?,Gabaón,Silo,Betel,Em qual lugar sagrado Salomão celebrou um grande sacrifício de mil holocausto antes de pedir sabedoria?,Gibeão,Siló,Betel,At which high place did Solomon offer a thousand burnt offerings before asking God for wisdom?,Gibeon,Shiloh,Bethel,1,FALSE
Mundial_1,1,eventos,¿Qué milagro realizó el apóstol Pedro en la ciudad de Jope tras la muerte de Dorcas?,La resucitó mediante la oración,Sanó su parálisis crónica,La libró de una ceguera,Qual milagre o apóstolo Pedro realizou na cidade de Jope após a morte de Dorcas?,Ressuscitou-a mediante a oração,Curou sua paralisia crônica,Livrou-a de uma cegueira,What miracle did the apostle Peter perform in Joppa following the death of Dorcas?,Raised her to life through prayer,Cured her chronic paralysis,Healed her from blindness,1,FALSE
